row,column,cor,p
Otu01340,Otu01399,1,0
Otu00580,Otu01401,1,0
Otu00649,Otu01401,1,0
Otu00703,Otu01401,1,0
Otu00801,Otu01401,1,0
Otu00857,Otu01401,1,0
Otu00988,Otu01401,1,0
Otu01282,Otu01401,1,0
Otu01314,Otu01401,1,0
Otu01363,Otu01401,1,0
Otu00845,Otu01404,1,0
Otu00218,Otu01405,1,0
Otu00247,Otu01405,1,0
Otu00582,Otu01405,1,0
Otu00585,Otu01405,1,0
Otu00928,Otu01405,1,0
Otu01318,Otu01405,1,0
Otu01361,Otu01405,1,0
Otu01388,Otu01405,1,0
Otu00977,Otu01406,1,0
Otu00987,Otu01406,1,0
Otu01213,Otu01406,1,0
Otu00302,Otu01407,1,0
Otu00308,Otu01407,1,0
Otu00348,Otu01407,1,0
Otu00677,Otu01407,1,0
Otu00701,Otu01407,1,0
Otu00789,Otu01407,1,0
Otu00937,Otu01407,1,0
Otu00949,Otu01407,1,0
Otu01018,Otu01407,1,0
Otu01067,Otu01407,1,0
Otu01215,Otu01407,1,0
Otu01378,Otu01407,1,0
Otu00520,Otu01410,1,0
Otu00533,Otu01410,1,0
Otu00658,Otu01410,1,0
Otu00841,Otu01410,1,0
Otu01161,Otu01410,1,0
Otu01248,Otu01410,1,0
Otu00580,Otu01411,1,0
Otu00649,Otu01411,1,0
Otu00703,Otu01411,1,0
Otu00801,Otu01411,1,0
Otu00857,Otu01411,1,0
Otu00988,Otu01411,1,0
Otu01282,Otu01411,1,0
Otu01314,Otu01411,1,0
Otu01363,Otu01411,1,0
Otu01401,Otu01411,1,0
Otu00838,Otu01412,1,0
Otu01275,Otu01412,1,0
Otu01337,Otu01412,1,0
Otu01349,Otu01412,1,0
Otu00580,Otu01414,1,0
Otu00649,Otu01414,1,0
Otu00703,Otu01414,1,0
Otu00801,Otu01414,1,0
Otu00857,Otu01414,1,0
Otu00988,Otu01414,1,0
Otu01282,Otu01414,1,0
Otu01314,Otu01414,1,0
